landmark_id,id,category
183170,c6079abecc2c9381,Agra_Fort
183170,c5bd63901cac3b51,Agra_Fort
183170,36a2f12ab063136a,Agra_Fort
183170,aef5c8b41207a2a5,Agra_Fort
183170,bb93b03bae165992,Agra_Fort
183170,170e90ef64f6e5ec,Agra_Fort
183170,142eefdf3ce3bfe7,Agra_Fort
183170,b4b041751bfc3f65,Agra_Fort
183170,cdfc48d97b66e810,Agra_Fort
183170,76474a70f5d95ef8,Agra_Fort
183170,d79e97db5d3811e2,Agra_Fort
183170,18f8655eae661d2b,Agra_Fort
183170,abda3a01dc81a9f4,Agra_Fort
183170,34b6d884eac1431c,Agra_Fort
183170,440936c25dc6273c,Agra_Fort
183170,a02ca7b67d940f83,Agra_Fort
183170,d217a1734b80e36c,Agra_Fort
183170,7018de416eb79440,Agra_Fort
183170,fbb4cf987f6d75a2,Agra_Fort
183170,69a159d2d7343a69,Agra_Fort
183170,c245b62ce4f2c4fa,Agra_Fort
183170,0a2cd13eb186fb1a,Agra_Fort
183170,7ecaf5319cfa9853,Agra_Fort
183170,c19d6eeb915dc08d,Agra_Fort
183170,8b558a99cdbcab1c,Agra_Fort
44743,7843a1b5bb492dbd,Ajanta_Caves
44743,b2d23ff366b0ffc8,Ajanta_Caves
44743,487212cc31ea40fa,Ajanta_Caves
44743,acf03ef6aaa55cfa,Ajanta_Caves
44743,57b99d91abac475c,Ajanta_Caves
44743,3015490fbf180e83,Ajanta_Caves
44743,f9882e6ecb7e93c2,Ajanta_Caves
44743,81d48f81f775ae39,Ajanta_Caves
44743,5a763270a58241f1,Ajanta_Caves
44743,10757fed7356ed40,Ajanta_Caves
44743,608750adb734fbe9,Ajanta_Caves
44743,5b8d4a066b4785c6,Ajanta_Caves
44743,327c70c3992860cf,Ajanta_Caves
44743,4d891ab491b7d226,Ajanta_Caves
44743,be5b1f191ee53586,Ajanta_Caves
44743,8b5d37cf3fb175b4,Ajanta_Caves
44743,ec0b556d61028d3f,Ajanta_Caves
44743,2a91fdc5bf51152c,Ajanta_Caves
44743,dc1fb5f0231e9516,Ajanta_Caves
44743,025a6bb7c8c360ef,Ajanta_Caves
44743,fdac7aff3e26ffa3,Ajanta_Caves
44743,f409c78827aa0e59,Ajanta_Caves
44743,f7948f0eb22e7b70,Ajanta_Caves
44743,4d7289d5681ed6c3,Ajanta_Caves
44743,2c195a8c7c786d1a,Ajanta_Caves
